Designator,Mid X,Mid Y,Rotation,Layer
C1,85.4,-52.5,0.0,top
C10,110.5,-43.5,90.0,top
C11,99.5,-75.28,270.0,top
C12,88.0,-92.28,270.0,top
C13,99.0,-100.28,270.0,top
C14,76.0,-100.0,270.0,top
C15,104.22,-53.5,0.0,top
C16,81.72,-102.5,0.0,top
C19,111.0,-92.72,90.0,top
C2,85.0,-78.0,180.0,top
C20,106.0,-78.5,0.0,top
C21,105.3075,-103.65375,0.0,top
C4,91.5,-41.22,90.0,top
C5,78.5,-48.78,270.0,top
C6,96.72,-47.72,180.0,top
C7,92.0,-66.28,270.0,top
C8,112.0,-68.5,90.0,top
C9,78.5,-75.5,270.0,top
D1,56.725,-100.0,180.0,top
D2,56.6625,-96.5,0.0,top
D3,56.5375,-93.0,180.0,top
GND1,98.5,-38.0,0.0,top
GND2,97.5,-65.0,0.0,top
GND3,97.0,-89.5,0.0,top
GND4,139.0,-97.5,180.0,top
J2,56.5,-77.12,270.0,top
J3,56.5,-49.2,270.0,top
J4,132.865,-76.04,270.0,top
R1,77.675,-38.0,0.0,top
R10,97.175,-69.5,0.0,top
R11,105.8675,-77.0,0.0,top
R12,74.675,-93.5,0.0,top
R13,60.9125,-100.0,180.0,top
R14,60.75,-96.5,0.0,top
R15,98.175,-94.5,0.0,top
R16,105.175,-102.0,0.0,top
R17,60.75,-93.0,0.0,top
R18,70.725,-44.0,0.0,top
R19,74.0,-44.275,270.0,top
R2,85.175,-50.5,0.0,top
R20,70.4375,-70.0,0.0,top
R21,73.9375,-70.275,270.0,top
R3,77.675,-40.0,0.0,top
R4,81.95,-100.84625,0.0,top
R5,96.5,-44.5,0.0,top
R6,104.0875,-52.0,0.0,top
R7,78.0,-64.0,0.0,top
R8,77.825,-66.0,0.0,top
R9,85.275,-76.0,0.0,top
SUMSTAGE1,92.0,-101.0,0.0,top
SUMSTAGE2,113.0,-101.5,0.0,top
TP_DIN1,133.0,-100.5,180.0,top
TP_EN1,139.0,-89.0,180.0,top
TP_SYNC1,133.0,-92.5,180.0,top
U1,85.505,-69.0,0.0,top
U10,85.005,-43.5,0.0,top
U11,104.005,-45.5,0.0,top
U2,77.5625,-44.5,180.0,top
U3,106.005,-70.5,0.0,top
U5,82.005,-94.5,0.0,top
U6,105.005,-95.5,0.0,top
U7,130.42,-49.47,270.0,top
U8,77.4375,-70.5,180.0,top
XSTAGE1,90.5,-51.0,0.0,top
XSTAGE2,112.5,-51.5,0.0,top
YSTAGE1,92.0,-77.0,0.0,top
YSTAGE2,113.5,-77.0,0.0,top
